,stock_id,win_rate,total_profit
0,0050,80.0,170000.00000000012
1,0051,33.33333333333333,-10000.000000000156
2,0052,0.0,0.0
3,0053,50.0,20000.000000000033
4,0054,50.0,39999.999999999956
5,0055,100.0,50000.00000000012
6,0056,100.0,100000.00000000015
7,0057,100.0,49999.99999999996
8,0058,33.33333333333333,-10000.000000000044
9,0059,33.33333333333333,-9999.999999999982
10,0060,50.0,40000.00000000006
11,0061,0.0,0.0
12,006201,100.0,50000.0
13,006203,100.0,50000.00000000011
14,006204,0.0,0.0
15,006205,0.0,0.0
16,006206,0.0,0.0
17,006207,0.0,-29999.99999999998
18,006208,100.0,49999.99999999999
19,00625K,0.0,0.0
20,00631L,66.66666666666666,70000.00000000016
21,00632R,0.0,0.0
22,00633L,0.0,0.0
23,00634R,0.0,0.0
24,00635U,0.0,0.0
25,00636,0.0,-30000.000000000047
26,00636K,0.0,0.0
27,00637L,0.0,0.0
28,00638R,0.0,-30000.00000000008
29,00639,0.0,0.0
30,00640L,0.0,-30000.000000000073
31,00641R,0.0,0.0
32,00642U,100.0,50000.000000000095
33,00643,0.0,-30000.000000000113
34,00643K,0.0,0.0
35,00645,0.0,0.0
36,00646,0.0,0.0
37,00647L,0.0,-60000.00000000007
38,00648R,0.0,0.0
39,00649,0.0,0.0
40,00650L,100.0,100000.00000000001
41,00651R,0.0,-60000.00000000006
42,00652,0.0,0.0
43,00653L,0.0,-30000.00000000011
44,00654R,0.0,-30000.000000000124
45,00655L,0.0,0.0
46,00656R,0.0,0.0
47,00657,0.0,0.0
48,00657K,0.0,0.0
49,00658L,0.0,0.0
50,00659R,0.0,0.0
51,00660,0.0,-59999.99999999997
52,00661,0.0,0.0
53,00662,0.0,0.0
54,00663L,0.0,-30000.000000000033
55,00664R,0.0,0.0
56,00665L,0.0,0.0
57,00666R,0.0,-29999.99999999999
58,00667,0.0,0.0
59,00668,0.0,-29999.99999999998
60,00668K,0.0,0.0
61,00669R,0.0,0.0
62,00670L,0.0,-90000.00000000012
63,00671R,0.0,0.0
64,00672L,0.0,
65,00673R,0.0,0.0
66,00674R,0.0,0.0
67,00675L,0.0,-60000.0000000001
68,00676R,0.0,0.0
69,00677U,33.33333333333333,-10000.000000000131
70,00678,0.0,0.0
71,00679B,0.0,0.0
72,00680L,0.0,0.0
73,00681R,0.0,0.0
74,00682U,0.0,0.0
75,00683L,0.0,0.0
76,00684R,0.0,0.0
77,00685L,0.0,-59999.99999999996
78,00686R,0.0,-30000.000000000033
79,00687B,0.0,0.0
80,00688L,0.0,0.0
81,00689R,0.0,0.0
82,00690,0.0,0.0
83,00691R,0.0,0.0
84,00692,0.0,0.0
85,00693U,0.0,0.0
86,00694B,0.0,0.0
87,00695B,0.0,0.0
88,00696B,0.0,0.0
89,00697B,0.0,0.0
90,00698L,0.0,0.0
91,00699R,0.0,0.0
92,00700,0.0,0.0
93,00701,0.0,0.0
94,00702,0.0,-30000.000000000055
95,00703,0.0,-30000.00000000006
96,00704L,0.0,0.0
97,00705R,0.0,0.0
98,00706L,0.0,0.0
99,00707R,0.0,0.0
100,00708L,0.0,0.0
101,00709,0.0,0.0
102,00710B,0.0,0.0
103,00711B,0.0,0.0
104,00712,50.0,20000.000000000076
105,00713,0.0,0.0
106,00714,0.0,0.0
107,00715L,0.0,
108,00716R,0.0,0.0
109,00717,0.0,0.0
110,00718B,0.0,0.0
111,00719B,0.0,0.0
112,00720B,0.0,0.0
113,00721B,0.0,0.0
114,00722B,0.0,0.0
115,00723B,0.0,0.0
116,00724B,0.0,0.0
117,00725B,0.0,0.0
118,00726B,0.0,0.0
119,00727B,0.0,0.0
120,00728,100.0,49999.99999999998
121,00729R,0.0,0.0
122,00730,0.0,0.0
123,00731,0.0,0.0
124,00732,0.0,0.0
125,00733,0.0,0.0
126,00734B,0.0,0.0
127,00735,0.0,0.0
128,00736,0.0,0.0
129,00737,0.0,0.0
130,00738U,0.0,0.0
131,00739,0.0,0.0
132,00740B,0.0,0.0
133,00741B,0.0,0.0
134,00742,0.0,0.0
135,00743,0.0,0.0
136,00744B,0.0,0.0
137,00745B,0.0,0.0
138,00746B,0.0,0.0
139,00747B,0.0,0.0
140,00748B,0.0,0.0
141,00749B,0.0,0.0
142,00750B,0.0,0.0
143,00751B,0.0,0.0
144,00752,0.0,0.0
145,00753L,0.0,0.0
146,00754B,0.0,0.0
147,00755B,0.0,0.0
148,00756B,0.0,0.0
149,00757,0.0,0.0
150,00758B,0.0,0.0
151,00759B,0.0,0.0
152,00760B,0.0,0.0
153,00761B,0.0,0.0
154,00762,0.0,0.0
155,00763U,0.0,0.0
156,00764B,0.0,0.0
157,00765B,0.0,0.0
158,00766L,0.0,0.0
159,00767,0.0,0.0
160,00768B,0.0,-30000.000000000036
161,00770,0.0,0.0
162,00771,0.0,0.0
163,00772B,0.0,0.0
164,00773B,0.0,0.0
165,00774B,0.0,0.0
166,00774C,0.0,0.0
167,00775B,0.0,0.0
168,00776,0.0,0.0
169,00777B,0.0,0.0
170,00778B,0.0,0.0
171,00779B,0.0,0.0
172,00780B,0.0,0.0
173,00781B,0.0,0.0
174,00782B,0.0,0.0
175,00783,0.0,0.0
176,00784B,0.0,0.0
177,00785B,0.0,0.0
178,00786B,0.0,0.0
179,00787B,0.0,0.0
180,00788B,0.0,0.0
181,00789B,0.0,0.0
182,00790B,0.0,0.0
183,00791B,0.0,0.0
184,00792B,0.0,0.0
185,00793B,0.0,0.0
186,00794B,0.0,0.0
187,00795B,0.0,0.0
188,00796B,0.0,0.0
189,00798B,0.0,0.0
190,00799B,0.0,0.0
191,0080,50.0,19999.999999999975
192,0081,0.0,-30000.000000000076
193,008201,50.0,19999.99999999989
194,00830,0.0,0.0
195,00831B,0.0,0.0
196,00832B,0.0,0.0
197,00833B,0.0,0.0
198,00834B,0.0,0.0
199,00835B,0.0,0.0
200,00836B,0.0,0.0
201,00837B,0.0,0.0
202,00838B,0.0,0.0
203,00839B,0.0,0.0
204,00840B,0.0,0.0
205,00841B,0.0,0.0
206,00842B,0.0,0.0
207,00843B,0.0,0.0
208,00844B,0.0,0.0
209,00845B,0.0,0.0
210,00846B,0.0,0.0
211,00847B,0.0,0.0
212,00848B,0.0,0.0
213,00849B,0.0,0.0
214,00850,100.0,50000.000000000065
215,00851,0.0,0.0
216,00852L,0.0,-60000.000000000015
217,00853B,0.0,0.0
218,00854B,0.0,0.0
219,00855B,0.0,0.0
220,00856B,0.0,0.0
221,00857B,0.0,0.0
222,00858,0.0,0.0
223,00859B,0.0,0.0
224,00860B,0.0,0.0
225,00861,0.0,0.0
226,00862B,0.0,0.0
227,00863B,0.0,0.0
228,00864B,0.0,0.0
229,00865B,0.0,0.0
230,00866,0.0,0.0
231,00867B,0.0,0.0
232,00868B,0.0,0.0
233,00869B,0.0,0.0
234,00870B,0.0,0.0
235,00871B,0.0,0.0
236,00872B,0.0,0.0
237,00873B,0.0,0.0
238,00874B,0.0,0.0
239,00875,0.0,0.0
240,00876,0.0,0.0
